year,month,mean_daily_precipitation_mm,derived_monthly_total_mm
2013,12,6.79,210.49
2014,1,8.12,251.72
2014,2,7.3,204.4
2014,3,4.15,128.65
2014,4,4.78,143.4
2014,5,4.18,129.58
2014,6,1.52,45.6
2014,7,2.13,66.03
2014,8,1.88,58.28
2014,9,1.25,37.5
2014,10,3.21,99.51
2014,11,9.93,297.9
2014,12,9.19,284.89
2015,1,9.82,304.42
2015,2,5.55,155.4
2015,3,7.22,223.82
2015,4,4.8,144.0
2015,5,4.57,141.67
2015,6,3.65,109.5
2015,7,1.6,49.6
2015,8,1.77,54.87
2015,9,1.87,56.1
2015,10,5.15,159.65
2015,11,11.29,338.7
2015,12,6.23,193.13
2016,1,3.15,97.65
2016,2,6.13,177.77
2016,3,5.76,178.56
2016,4,17.41,522.3
2016,5,4.69,145.39
2016,6,2.76,82.8
2016,7,3.24,100.44
2016,8,2.22,68.82
2016,9,2.91,87.3
2016,10,3.15,97.65
2016,11,5.42,162.6
2016,12,9.25,286.75
2017,1,8.43,261.33
2017,2,13.63,381.64
2017,3,5.08,157.48
2017,4,5.59,167.7
2017,5,8.88,275.28
2017,6,4.07,122.1
2017,7,1.71,53.01
2017,8,3.04,94.24
2017,9,1.92,57.6
2017,10,6.36,197.16
2017,11,10.04,301.2
2017,12,7.77,240.87
2018,1,7.6,235.6
2018,2,11.36,318.08
2018,3,5.64,174.84
2018,4,5.94,178.2
2018,5,1.6,49.6
2018,6,1.14,34.2
2018,7,3.3,102.3
2018,8,2.04,63.24
2018,9,1.91,57.3
2018,10,4.93,152.83
2018,11,6.41,192.3
2018,12,9.75,302.25
2019,1,6.57,203.67
2019,2,14.69,411.32
2019,3,3.95,122.45
2019,4,3.58,107.4
2019,5,6.64,205.84
2019,6,4.7,141.0
2019,7,6.38,197.78
2019,8,1.95,60.45
2019,9,4.1,123.0
2019,10,5.25,162.75
2019,11,3.83,114.9
2019,12,6.54,202.74
2020,1,11.73,363.63
2020,2,12.39,359.31
2020,3,2.7,83.7
2020,4,7.79,233.7
2020,5,2.89,89.59
2020,6,7.36,220.8
2020,7,4.37,135.47
2020,8,2.27,70.37
2020,9,5.83,174.9
2020,10,6.96,215.76
2020,11,6.65,199.5
2020,12,11.35,351.85
2021,1,7.07,219.17
2021,2,10.81,302.68
2021,3,5.61,173.91
2021,4,5.1,153.0
2021,5,2.84,88.04
2021,6,3.26,97.8
2021,7,1.26,39.06
2021,8,3.34,103.54
2021,9,0.57,17.1
2021,10,2.2,68.2
2021,11,3.18,95.4
2021,12,4.66,144.46
2022,1,6.48,200.88
2022,2,10.5,294.0
2022,3,2.17,67.27
2022,4,2.84,85.2
2022,5,3.85,119.35
2022,6,1.86,55.8
2022,7,2.05,63.55
2022,8,2.27,70.37
2022,9,1.33,39.9
2022,10,2.9,89.9
2022,11,4.06,121.8
2022,12,4.08,126.48
2023,1,7.53,233.43
2023,2,6.69,187.32
2023,3,6.03,186.93
2023,4,4.8,144.0
2023,5,5.23,162.13
2023,6,2.49,74.7
2023,7,3.32,102.92
2023,8,2.1,65.1
2023,9,1.85,55.5
2023,10,4.08,126.48
2023,11,3.96,118.8
2023,12,10.3,319.3
2024,1,5.93,183.83
2024,2,11.12,322.48
2024,3,2.26,70.06
2024,4,4.9,147.0
2024,5,5.89,182.59
2024,6,3.56,106.8
2024,7,3.42,106.02
2024,8,2.59,80.29
2024,9,3.75,112.5
2024,10,4.01,124.31
2024,11,8.14,244.2
2024,12,4.66,144.46
2025,1,9.94,308.14
2025,2,9.32,260.96
2025,3,6.08,188.48
2025,4,2.53,75.9
2025,5,10.33,320.23
2025,6,2.9,87.0
2025,7,2.77,85.87
2025,8,2.04,63.24
2025,9,2.92,87.6
2025,10,8.71,270.01
2025,11,8.29,248.7
2025,12,5.51,170.81
